UserID,Name,Email,Phone,Password,Role
1,user1,user1@example.com,+65 97006255,$2b$12$JqpD0GtHyDMnqXN/Weun1e/VzRmWzomKw154wTF5Kgq9nMD4HoOoa,1
2,user2,user2@example.com,+65 93588396,$2b$12$jas5E0Cep/SbLRnXrQid1e/xKVJ0d6KmOhM8ffWuENwiwcOn0zGhG,1
3,user3,user3@example.com,+65 83065626,$2b$12$ui9tjA919j9BofbtxHcH8udp9/iwnzDn.bGPtbQzek//TJvB1QEt.,1
4,user4,user4@example.com,+65 91649432,$2b$12$RvdqYue.loQ0SmBjtolvkOS.a4st6JBgG0SGbrOweyxXSaqw22Yuq,1
5,user5,user5@example.com,+65 96334626,$2b$12$6ZCwqb2NtAdDUsOvxLTQ9e8AblVdwjjn0VAOegIUWX6sLRFvt/bWC,1
6,user6,user6@example.com,+65 99908470,$2b$12$4ixtXMnLiU.SjXP2EPPVPuHonIrSFjTAi49etGsDZCaJSg2zHqbFC,1
7,user7,user7@example.com,+65 91242829,$2b$12$hKaMAjIQFPCRzzmG7oRXnOL78iwWi1xQ0IjulBHebPyIHui7WjlBu,1
8,user8,user8@example.com,+65 83808471,$2b$12$o6cwm1pqnz8dhxEyHGVZ9.FZoD6SVT/mE87rhT5Hfs0IV/Wc9moxK,1
9,user9,user9@example.com,+65 85034367,$2b$12$Hi17ZRhQvl9jzOIkrq61be3vYpb8tTMkbOHjn/4HOlehw9/fmj8JC,1
10,user10,user10@example.com,+65 89422303,$2b$12$U9Xtzbvl4Q1VXwd3uQDbh.M5apxifcDu.Uvch5GOWpt0HA34dy4he,1
